Ticker,Short Name,GICS Sector,GICS Ind Name,Curr Adj Mkt Cap,Mrkt Cap Sum,Weight,EV,ESG Score,UN Glob Comp Sign,% Women on Bd,GHG Scp 1 Est,GHG Scp 1 2 Watrfll Per Sale,Cntry Terrtry Of Rsk,Clmt Rsk Phys Lvl,Clmt Rsk Phys Cat,Fossl Fl Op Rev Pct,Oil Op Rev Pct,Coal Op Rev Pct,Tgt Temp Rise Scp 1 And 2 ST,Comp Clm Sci Bse Emiss Targts,Comp Clm Net 0 Emiss Tgt,Invt In Sustain Prods
VRT UN,VERTIV HOLDING-A,Industrials,Electrical Equipment,38538.81641,99429445.9,0.0004,41353.61641,5.21999979,N,18.18180084,204.912,58.52,US,83,High Risk,0,0,0,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,#N/A N/A
ACGL UW,ARCH CAPITAL GRP,Financials,Insurance,38484.40435,99429445.9,0.0004,41048.40435,1.730000019,#N/A N/A,25,1.239,0.544,US,#N/A N/A,#N/A N/A,0,0,0,#N/A Field Not Applicable,#N/A N/A,Y,#N/A N/A
LULU UW,LULULEMON ATH,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",38349.30302,99429445.9,0.0004,37508.61402,4.639999866,#N/A N/A,50,5.135,3.312,US,75,Moderate Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
7751 JT,CANON INC,Information Technology,"Technology Hardware, Storage &",38276.54381,99429445.9,0.0004,6450088.298,3.690000057,#N/A N/A,10,165.672,33.244,JP,80,Moderate Risk,0,0,0,3.2,Y,#N/A N/A,#N/A N/A
CMI UN,CUMMINS INC,Industrials,Machinery,38154.74613,99429445.9,0.0004,42972.74613,4.789999962,#N/A N/A,33.33330154,320.578,28.13,US,77,Moderate Risk,1.3416,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
RCL UN,ROYAL CARIBBEAN,Consumer Discretionary,"Hotels, Restaurants & Leisure",38152.01831,99429445.9,0.0004,59074.01831,4.900000095,#N/A N/A,28.57139969,6898.429,418.975,US,#N/A N/A,#N/A N/A,0,0,0,3.2,#N/A N/A,Y,#N/A N/A
RI FP,PERNOD RICARD SA,Consumer Staples,Beverages,37963.35625,99429445.9,0.0004,47418.54742,4.360000134,Y,57.14289856,271.855,21.688,FR,85,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
SE UN,SEA LTD-ADR,Communication Services,Entertainment,37950.17206,99429445.9,0.0004,36809.17306,1.269999981,#N/A N/A,0,105.529,51.962,SG,81,High Risk,0,0,0,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,#N/A N/A
HPQ UN,HP INC,Information Technology,"Technology Hardware, Storage &",37938.75515,99429445.9,0.0004,45023.54075,3.940000057,#N/A N/A,42.85710144,47.882,4.799,US,75,Moderate Risk,0,0,0,1.19,#N/A N/A,#N/A N/A,#N/A N/A
YUM UN,YUM! BRANDS INC,Consumer Discretionary,"Hotels, Restaurants & Leisure",37927.40999,99429445.9,0.0004,49211.40999,6,#N/A N/A,33.33330154,37.12,20.528,US,77,Moderate Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
UOB SP,UNITED OVERSEAS,Financials,Banks,37918.18671,99429445.9,0.0004,#N/A N/A,4.659999847,Y,20,6.28,0.343,SG,#N/A N/A,#N/A N/A,0,0,0,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,#N/A N/A
207940 KP,SAMSUNG BIOLOGIC,Health Care,Life Sciences Tools & Services,37884.38876,99429445.9,0.0004,51792067.86,4.300000191,#N/A N/A,14.28569984,49.651,62.814,KR,84,High Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
CTVA UN,CORTEVA INC,Materials,Chemicals,37876.9836,99429445.9,0.0004,41099.9836,6.090000153,#N/A N/A,30.76919937,494.461,58.486,US,67,Moderate Risk,0,0,0,3.2,#N/A N/A,N,#N/A N/A
600276 C1,JIANGSU HENGRU-A,Health Care,Pharmaceuticals,37819.26409,99429445.9,0.0004,252606.8806,3.900000095,N,11.1111002,6.842,69.831,CN,83,High Risk,0,0,0,#N/A Field Not Applicable,N,N,#N/A N/A
HLN LN,HALEON PLC,Consumer Staples,Personal Care Products,37780.35366,99429445.9,0.0004,38187.58168,3.160000086,#N/A N/A,45.45449829,51.062,5.155,US,66,Moderate Risk,0,0,0,3.2,Y,Y,#N/A N/A
GIS UN,GENERAL MILLS IN,Consumer Staples,Food Products,37751.37578,99429445.9,0.0004,49931.27578,6.289999962,Y,50,318.195,38.329,US,78,Moderate Risk,0,0,0,2.18,Y,Y,#N/A N/A
EQT SS,EQT AB,Financials,Capital Markets,37734.06095,99429445.9,0.0004,35847.6039,4.800000191,Y,28.57139969,0.168,0.208,SE,84,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
FEMSAUBD MF,FOMENTO ECON-UBD,Consumer Staples,Beverages,37583.08095,99429445.9,0.0004,794222.3206,2.670000076,Y,22.22220039,1363.392,40.202,MX,85,High Risk,0,0,0,#N/A Field Not Applicable,Y,#N/A N/A,#N/A N/A
ODFL UW,OLD DOMINION FRT,Industrials,Ground Transportation,37509.92371,99429445.9,0.0004,37008.92971,4.619999886,#N/A N/A,20,1374.016,259.396,US,74,Moderate Risk,0,0,0,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,#N/A N/A
600690 C1,HAIER SMART H-A,Consumer Discretionary,Household Durables,37485.42932,99429445.9,0.0004,277689.9553,5.590000153,Y,22.22220039,123.263,19.043,CN,95,High Risk,0,0,0,3.2,N,N,#N/A N/A
6690 HK,HAIER SMART H-H,Consumer Discretionary,Household Durables,37482.53647,99429445.9,0.0004,277689.9582,5.590000153,Y,22.22220039,123.263,19.043,CN,95,High Risk,0,0,0,3.2,N,N,#N/A N/A
HO FP,THALES SA,Industrials,Aerospace & Defense,37438.67705,99429445.9,0.0004,39018.026,5.559999943,#N/A N/A,50,67.578,5.264,FR,83,High Risk,0,0,0,3.2,Y,#N/A N/A,#N/A N/A
KR UN,KROGER CO,Consumer Staples,Consumer Staples Distribution,37426.73159,99429445.9,0.0004,54776.73159,5.920000076,#N/A N/A,45.45449829,2229.285,39.029,US,75,Moderate Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
STMPA FP,STMICROELECTRONI,Information Technology,Semiconductors & Semiconductor,37325.14035,99429445.9,0.0004,34317.97657,6.110000134,Y,44.44440079,471.54,49.17,SG,85,High Risk,0,0,0,1.06,Y,Y,#N/A N/A
MM IS,MAHINDRA & MAHIN,Consumer Discretionary,Automobiles,37245.31025,99429445.9,0.0004,3366728.74,3.019999981,Y,25,59.116,20.537,IN,82,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
IMO CT,IMPERIAL OIL,Energy,"Oil, Gas & Consumable Fuels",37121.12972,99429445.9,0.0004,53785.67014,4.320000172,#N/A N/A,28.57139969,14882.067,472.767,CA,56,Moderate Risk,100,100,0,#N/A Field Not Applicable,#N/A N/A,Y,#N/A N/A
NPN SJ,NASPERS LTD-N,Consumer Discretionary,Broadline Retail,37115.28525,99429445.9,0.0004,55910.49106,5.869999886,Y,37.5,1.705,0.078,ZA,#N/A N/A,#N/A N/A,0,0,0,0,Y,Y,#N/A N/A
6981 JT,MURATA MFG CO,Information Technology,"Electronic Equipment, Instrume",37055.63354,99429445.9,0.0004,5290012.663,3.960000038,N,20,154.767,111.942,JP,83,High Risk,0,0,0,3.2,Y,N,#N/A N/A
DB1 GY,DEUTSCHE BOERSE,Financials,Capital Markets,37011.01088,99429445.9,0.0004,57011.3,6.309999943,Y,31.25,1.946,1.832,DE,#N/A N/A,#N/A N/A,0,0,0,0,Y,Y,#N/A N/A
IR UN,INGERSOLL-RAND I,Industrials,Machinery,37010.84076,99429445.9,0.0004,38383.74076,5.840000153,#N/A N/A,36.36360168,43.905,17.255,US,81,High Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
FAST UW,FASTENAL CO,Industrials,Trading Companies & Distributo,36995.93439,99429445.9,0.0004,37236.51012,4.010000229,#N/A N/A,36.36360168,151.645,30.389,US,75,Moderate Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
PEG UN,PUB SERV ENTERP,Utilities,Multi-Utilities,36885.43637,99429445.9,0.0004,57651.45051,5.619999886,#N/A N/A,40,1789.252,223.538,US,91,High Risk,17.6382,0,0,3.2,#N/A N/A,Y,#N/A N/A
CNC UN,CENTENE CORP,Health Care,Health Care Providers & Servic,36860.36061,99429445.9,0.0004,35299.36061,3.099999905,#N/A N/A,30,20.946,0.454,US,86,High Risk,0,0,0,#N/A Field Not Applicable,N,N,#N/A N/A
EAND DH,ETISALAT,Communication Services,Diversified Telecommunication,36700.15884,99429445.9,0.0004,161051.654,3.630000114,Y,9.090909958,59.694,116.627,AE,#N/A N/A,#N/A N/A,0,0,0,3.2,Y,Y,#N/A N/A
EXC UW,EXELON CORP,Utilities,Electric Utilities,36600.30289,99429445.9,0.0004,80761.30289,4.199999809,#N/A N/A,44.44440079,400.562,299.483,US,82,High Risk,0,0,0,3.2,#N/A N/A,Y,#N/A N/A
MPWR UW,MONOLITHIC POWER,Information Technology,Semiconductors & Semiconductor,36505.46016,99429445.9,0.0004,35227.62616,3.380000114,#N/A N/A,25,2.779,16.114,US,71,Moderate Risk,0,0,0,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,#N/A N/A
HEN3 GY,HENKEL AG -PREF,Consumer Staples,Household Products,36465.84881,99429445.9,0.0004,34418.08295,4.090000153,Y,36.84209824,246.582,14.874,DE,81,High Risk,0,0,0,2.35,Y,#N/A N/A,#N/A N/A
HEN GY,HENKEL AG & CO K,Consumer Staples,Household Products,36424.23893,99429445.9,0.0004,34379.69745,4.090000153,Y,36.84209824,246.582,14.874,DE,81,High Risk,0,0,0,2.35,Y,#N/A N/A,#N/A N/A
005935 KP,SAMSUNG ELE-PREF,Information Technology,"Technology Hardware, Storage &",36380.73357,99429445.9,0.0004,-22136639.64,5.070000172,#N/A N/A,18.18180084,5417.803,96.279,KR,88,High Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
CAP FP,CAPGEMINI SE,Information Technology,IT Services,36354.92679,99429445.9,0.0004,36454.75636,4.320000172,Y,40,9.111,0.592,FR,90,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
VST UN,VISTRA CORP,Utilities,Independent Power and Renewabl,36187.9591,99429445.9,0.0004,54720.9591,5.420000076,#N/A N/A,33.33330154,49101.915,3608.286,US,80,High Risk,28.3119,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
KVUE UN,KENVUE INC,Consumer Staples,Personal Care Products,36151.62783,99429445.9,0.0004,43551.62783,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,158.464,34.717,US,98,High Risk,0,0,0,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,#N/A N/A
ADSEZ IS,ADANI PORTS AND,Industrials,Transportation Infrastructure,35897.74889,99429445.9,0.0004,3414634.93,5.309999943,Y,10,121.426,153.473,IN,96,High Risk,0,0,0,1.71,Y,Y,#N/A N/A
002714 C2,MUYUAN FOODS C-A,Consumer Staples,Food Products,35825.60472,99429445.9,0.0004,334049.9419,2.410000086,N,14.28569984,3073.314,550.735,CN,86,High Risk,0,0,0,#N/A Field Not Applicable,N,N,#N/A N/A
III LN,3I GROUP PLC,Financials,Capital Markets,35778.87328,99429445.9,0.0004,28974.68425,6.489999771,#N/A N/A,#N/A N/A,0.226,0.251,GB,96,High Risk,0,0,0,#N/A Field Not Applicable,Y,#N/A N/A,#N/A N/A
GEHC UW,GE HEALTHCARE TE,Health Care,Health Care Equipment & Suppli,35764.06166,99429445.9,0.0004,42647.06166,6.25,#N/A N/A,40,126.764,17.327,US,#N/A N/A,#N/A N/A,0,0,0,#N/A Field Not Applicable,Y,Y,#N/A N/A
PGHN SE,PARTNERS GROUP J,Financials,Capital Markets,35756.55385,99429445.9,0.0004,33500.05,6.699999809,Y,37.5,0.709,0.827,CH,80,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
SYY UN,SYSCO CORP,Consumer Staples,Consumer Staples Distribution,35695.38452,99429445.9,0.0004,48250.04052,3.769999981,#N/A N/A,27.27269936,1102.787,22.2,US,81,High Risk,0,0,0,3.2,Y,#N/A N/A,#N/A N/A
COAL IS,COAL INDIA LTD,Energy,"Oil, Gas & Consumable Fuels",35691.23363,99429445.9,0.0004,2710248.263,4.039999962,N,6.25,20048.037,2062.123,IN,90,High Risk,100,0,100,#N/A Field Not Applicable,N,N,#N/A N/A
ADANIGR IS,ADANI GREEN ENER,Utilities,Independent Power and Renewabl,35673.73287,99429445.9,0.0004,3596772.493,5.050000191,Y,22.22220039,0.838,34.952,IN,84,High Risk,0,0,0,1.48,#N/A N/A,#N/A N/A,#N/A N/A
LNG UN,CHENIERE ENERGY,Energy,"Oil, Gas & Consumable Fuels",35554.68966,99429445.9,0.0004,63647.68966,5.190000057,#N/A N/A,37.5,8720.336,474.722,US,99,High Risk,100,0,0,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,#N/A N/A
000568 C2,LUZHOU LAOJIAO-A,Consumer Staples,Beverages,35433.04801,99429445.9,0.0004,236556.8949,2.75,N,18.18180084,113.147,33.766,CN,94,High Risk,0,0,0,#N/A Field Not Applicable,N,N,#N/A N/A
FAB DH,FIRST ABU DHABI,Financials,Banks,35431.90038,99429445.9,0.0004,#N/A N/A,5.400000095,#N/A N/A,0,4.109,2.054,AE,#N/A N/A,#N/A N/A,0,0,0,#N/A Field Not Applicable,Y,Y,#N/A N/A
600030 C1,CITIC SECURITI-A,Financials,Capital Markets,35404.31136,99429445.9,0.0004,604794.7212,2.75,N,11.1111002,1.83,2.504,CN,#N/A N/A,#N/A N/A,0,0,0,#N/A Field Not Applicable,N,N,#N/A N/A
6030 HK,CITIC SEC-H,Financials,Capital Markets,35401.55892,99429445.9,0.0004,604794.7245,2.75,N,11.1111002,1.83,2.504,CN,#N/A N/A,#N/A N/A,0,0,0,#N/A Field Not Applicable,N,N,#N/A N/A
VRSK UW,VERISK ANALYTI,Industrials,Professional Services,35379.17852,99429445.9,0.0004,38132.87852,3.950000048,Y,40,2.267,3.662,US,#N/A N/A,#N/A N/A,0,0,0,3.2,#N/A N/A,Y,#N/A N/A
7182 JT,JAPAN POST BANK,Financials,Banks,35310.29361,99429445.9,0.0004,#N/A N/A,2.589999914,Y,35.71429825,5.513,1.772,JP,#N/A N/A,#N/A N/A,0,0,0,3.2,N,Y,#N/A N/A
6503 JT,MITSUB ELEC CORP,Industrials,Electrical Equipment,35197.55045,99429445.9,0.0004,5271802.048,4.710000038,Y,25,276.043,26.762,JP,88,High Risk,0,0,0,1.94,Y,Y,#N/A N/A
FANG UW,DIAMONDBACK ENER,Energy,"Oil, Gas & Consumable Fuels",35124.79821,99429445.9,0.0004,41926.79821,5.289999962,#N/A N/A,33.33330154,1545.613,273.778,US,#N/A N/A,#N/A N/A,100,100,0,0,#N/A N/A,#N/A N/A,#N/A N/A
NWG LN,NATWEST GROUP PL,Financials,Banks,35129.07333,99429445.9,0.0004,#N/A N/A,4.190000057,#N/A N/A,40,15.945,0.449,GB,100,High Risk,0,0,0,0.8,Y,Y,#N/A N/A
L CT,LOBLAW COS LTD,Consumer Staples,Consumer Staples Distribution,35114.08201,99429445.9,0.0004,64858.88178,5.090000153,#N/A N/A,41.66669846,563.84,27.315,CA,54,Moderate Risk,0,0,0,3.2,Y,Y,#N/A N/A
EOAN GY,E.ON SE,Utilities,Multi-Utilities,35088.38723,99429445.9,0.0004,67365.36189,6.519999981,Y,37.5,3114.684,87.313,DE,83,High Risk,0,0,0,3.2,Y,#N/A N/A,#N/A N/A
MLM UN,MARTIN MAR MTLS,Materials,Construction Materials,34924.71525,99429445.9,0.0004,37021.71525,3.289999962,#N/A N/A,40,4543.328,782.641,US,84,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
TTAN IS,TITAN CO LTD,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",34890.57448,99429445.9,0.0004,3028063.148,1.75,N,25,5.069,4.952,IN,82,High Risk,0,0,0,#N/A Field Not Applicable,N,N,#N/A N/A
ABEV3 BS,AMBEV SA,Consumer Staples,Beverages,34881.09984,99429445.9,0.0004,171961.5495,4.840000153,#N/A N/A,27.27269936,662.838,61.701,BR,78,Moderate Risk,0,0,0,1.64,#N/A N/A,#N/A N/A,#N/A N/A
ASM NA,ASM INTL NV,Information Technology,Semiconductors & Semiconductor,34880.93441,99429445.9,0.0004,31488.27875,5.079999924,Y,50,1.975,2.999,NL,81,High Risk,0,0,0,0,Y,Y,#N/A N/A
EA UW,ELECTRONIC ARTS,Communication Services,Entertainment,34781.06934,99429445.9,0.0003,33715.06934,3.390000105,#N/A N/A,#N/A N/A,#N/A N/A,3.198,US,77,Moderate Risk,0,0,0,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,#N/A N/A
DTG GY,DAIMLER TRUCK HO,Industrials,Machinery,34764.35032,99429445.9,0.0003,22100.43484,4.340000153,Y,30,407.774,11.773,DE,77,Moderate Risk,0,0,0,#N/A Field Not Applicable,N,N,#N/A N/A
6723 JT,RENESAS ELECTRON,Information Technology,Semiconductors & Semiconductor,34756.19237,99429445.9,0.0003,5732793.238,4.800000191,Y,33.33330154,160.132,82.986,JP,69,Moderate Risk,0,0,0,3.2,Y,Y,#N/A N/A
DMART IS,AVENUE SUPERMART,Consumer Staples,Consumer Staples Distribution,34743.70442,99429445.9,0.0003,2890944.351,2.049999952,#N/A N/A,28.57139969,5.355,29.635,IN,80,High Risk,0,0,0,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,#N/A N/A
601816 C1,BEIJING-SHANGH-A,Industrials,Ground Transportation,34491.1836,99429445.9,0.0003,322714.3551,0.889999986,N,0,0.048,533.063,CN,#N/A N/A,#N/A N/A,0,0,0,#N/A Field Not Applicable,N,N,#N/A N/A
601601 C1,CHINA PACIFIC-A,Financials,Insurance,34438.14724,99429445.9,0.0003,329732.351,3.339999914,Y,14.28569984,32.096,5.635,CN,#N/A N/A,#N/A N/A,0,0,0,#N/A Field Not Applicable,N,N,#N/A N/A
2601 HK,CHINA PACIFIC-H,Financials,Insurance,34435.46987,99429445.9,0.0003,329732.354,3.339999914,Y,14.28569984,32.096,5.635,CN,#N/A N/A,#N/A N/A,0,0,0,#N/A Field Not Applicable,N,N,#N/A N/A
601225 C1,SHAANXI COAL I-A,Energy,"Oil, Gas & Consumable Fuels",34422.97275,99429445.9,0.0003,248640.4976,3.049999952,N,0,27034.733,1336.65,CN,54,Moderate Risk,3.4275,0,3.4275,#N/A Field Not Applicable,N,N,#N/A N/A
HWM UN,HOWMET AEROSPACE,Industrials,Aerospace & Defense,34418.02926,99429445.9,0.0003,37779.02926,5.730000019,#N/A N/A,30,415.998,138.428,US,85,High Risk,0,0,0,1.66,#N/A N/A,Y,#N/A N/A
AEM CT,AGNICO EAGLE MIN,Materials,Metals & Mining,34337.42247,99429445.9,0.0003,35785.70956,5.449999809,#N/A N/A,36.36360168,1280.076,218.163,CA,76,Moderate Risk,0,0,0,3.2,#N/A N/A,Y,#N/A N/A
PWGR IS,POWER GRID CORP,Utilities,Electric Utilities,34263.46545,99429445.9,0.0003,4006623.491,3.50999999,N,0,117.487,67.79,IN,62,Moderate Risk,0,0,0,#N/A Field Not Applicable,N,Y,#N/A N/A
WDS AT,WOODSIDE ENERGY,Energy,"Oil, Gas & Consumable Fuels",34250.5214,99429445.9,0.0003,39756.58157,5.559999943,#N/A N/A,36.36360168,7863.214,708.986,AU,95,High Risk,100,97.9563,0,3.2,#N/A N/A,Y,#N/A N/A
UTCEM IS,ULTRATECH CEMENT,Materials,Construction Materials,34222.8097,99429445.9,0.0003,2901019.327,4.150000095,N,30,62532.115,8607.467,IN,86,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
000270 KP,KIA CORP,Consumer Discretionary,Automobiles,34222.40564,99429445.9,0.0003,29866920.68,5,#N/A N/A,22.22220039,400.702,15.891,KR,82,High Risk,0,0,0,2.16,#N/A N/A,#N/A N/A,#N/A N/A
QNBK QD,QATAR NATIONAL B,Financials,Banks,34207.11764,99429445.9,0.0003,#N/A N/A,2.690000057,#N/A N/A,#N/A N/A,15.834,4.256,QA,#N/A N/A,#N/A N/A,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
DD UN,DUPONT DE NEMOUR,Materials,Chemicals,34188.39597,99429445.9,0.0003,40506.39597,5.590000153,Y,33.33330154,1364.115,116.804,US,80,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
3382 JT,SEVEN & I HOLDIN,Consumer Staples,Consumer Staples Distribution,34121.03773,99429445.9,0.0003,7834799.508,3.289999962,#N/A N/A,20,127.87,36.545,JP,80,High Risk,0,0,0,3.2,#N/A N/A,Y,#N/A N/A
600000 C1,SHANG PUDONG-A,Financials,Banks,34089.85351,99429445.9,0.0003,#N/A N/A,1.929999948,N,18.18180084,9.268,0.431,CN,#N/A N/A,#N/A N/A,0,0,0,#N/A Field Not Applicable,N,N,#N/A N/A
NDAQ UW,NASDAQ INC,Financials,Capital Markets,34026.95311,99429445.9,0.0003,43877.95311,5.840000153,#N/A N/A,36.36360168,0.093,5.215,US,#N/A N/A,#N/A N/A,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
9888 HK,BIDU-SW,Communication Services,Interactive Media & Services,34018.32236,99429445.9,0.0003,175014.0582,2.569999933,Y,0,19.818,49.513,CN,#N/A N/A,#N/A N/A,0,0,0,#N/A Field Not Applicable,#N/A N/A,Y,#N/A N/A
FLTR LN,FLUTTER ENTER-DI,Consumer Discretionary,"Hotels, Restaurants & Leisure",33875.19558,99429445.9,0.0003,39253.54928,4.78000021,#N/A N/A,36.36360168,1.751,1.462,GB,#N/A N/A,#N/A N/A,0,0,0,3.2,Y,Y,#N/A N/A
XYL UN,XYLEM INC,Industrials,Machinery,33845.63791,99429445.9,0.0003,35384.63791,5.940000057,#N/A N/A,33.33330154,37.63,12.627,US,80,High Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
BMRI IJ,BANK MANDIRI,Financials,Banks,33824.76919,99429445.9,0.0003,#N/A N/A,3.210000038,#N/A N/A,18.18180084,81.829,23.836,ID,#N/A N/A,#N/A N/A,0,0,0,3.2,#N/A N/A,Y,#N/A N/A
VMC UN,VULCAN MATERIALS,Materials,Construction Materials,33750.77752,99429445.9,0.0003,37396.07752,#N/A Field Not Applicable,#N/A N/A,33.33330154,799.631,154.498,US,88,High Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
8725 JT,MS&AD INSURANCE,Financials,Insurance,33724.26269,99429445.9,0.0003,3134667.861,3.819999933,Y,27.27269936,18.38,1.795,JP,#N/A N/A,#N/A N/A,0,0,0,3.2,Y,Y,#N/A N/A
KNIN SE,KUEHNE & NAGEL-R,Industrials,Marine Transportation,33558.30222,99429445.9,0.0003,30804.35029,4.230000019,Y,22.22220039,335.847,10.426,CH,83,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
2382 TT,QUANTA COMPUTER,Information Technology,"Technology Hardware, Storage &",33510.94613,99429445.9,0.0003,1021708.835,3.640000105,#N/A N/A,14.28569984,29.037,10.257,TW,90,High Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
6273 JT,SMC CORP,Industrials,Machinery,33448.22101,99429445.9,0.0003,4747400.13,2.869999886,N,16.66670036,65.793,30.691,JP,79,Moderate Risk,0,0,0,#N/A Field Not Applicable,N,Y,#N/A N/A
DBK GY,DEUTSCHE BANK-RG,Financials,Capital Markets,33363.6172,99429445.9,0.0003,#N/A N/A,4.659999847,Y,40,27.999,0.725,DE,86,High Risk,0,0,0,3.2,Y,#N/A N/A,#N/A N/A
APNT IS,ASIAN PAINTS LTD,Materials,Chemicals,33224.9711,99429445.9,0.0003,2754862.067,4.349999905,N,30.76919937,13.514,10.2,IN,84,High Risk,0,0,0,3.2,N,N,234
2388 HK,BOC HONG KONG,Financials,Banks,33203.07983,99429445.9,0.0003,#N/A N/A,4.190000057,#N/A N/A,18.18180084,0.689,2.881,CN,#N/A N/A,#N/A N/A,0,0,0,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,#N/A N/A
CCEP UW,COCA-COLA EUROPA,Consumer Staples,Beverages,33127.13011,99429445.9,0.0003,40121.90259,5.769999981,Y,23.52939987,291.497,35.338,GB,87,High Risk,0,0,0,2.9,Y,Y,#N/A N/A
9961 HK,TRIP.COM GROUP L,Consumer Discretionary,"Hotels, Restaurants & Leisure",32946.41173,99429445.9,0.0003,216644.7543,2.519999981,#N/A N/A,12.5,0.066,1.246,CN,#N/A N/A,#N/A N/A,0,0,0,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,#N/A N/A
LVS UN,LAS VEGAS SANDS,Consumer Discretionary,"Hotels, Restaurants & Leisure",32953.43544,99429445.9,0.0003,42011.5345,7.079999924,#N/A N/A,25,55.425,45.012,US,#N/A N/A,#N/A N/A,0,0,0,2.04,#N/A N/A,#N/A N/A,#N/A N/A
HLAG GY,HAPAG-LLOYD AG,Industrials,Marine Transportation,32770.15412,99429445.9,0.0003,27886.3704,5.699999809,#N/A N/A,37.5,12834.037,704.582,DE,#N/A N/A,#N/A N/A,0,0,0,3.2,#N/A N/A,Y,#N/A N/A
601668 C1,CHINA STATE -A,Industrials,Construction & Engineering,32512.88947,99429445.9,0.0003,1106896.474,2.019999981,N,14.28569984,3646.202,21.788,CN,93,High Risk,0,0,0,#N/A Field Not Applicable,N,N,#N/A N/A
8002 JT,MARUBENI CORP,Industrials,Trading Companies & Distributo,32509.68872,99429445.9,0.0003,7099827.124,3.079999924,Y,20,895.567,18.721,JP,87,High Risk,10.14,10.14,0,3.2,N,Y,#N/A N/A
ADANI IS,ADANI POWER LTD,Utilities,Independent Power and Renewabl,32355.89067,99429445.9,0.0003,3037139.156,3.49000001,Y,16.66670036,23641.751,10574.969,IN,88,High Risk,0,0,0,3.18,N,N,993
IT UN,GARTNER INC,Information Technology,IT Services,32319.89274,99429445.9,0.0003,34130.70874,3.640000105,#N/A N/A,33.33330154,1.827,1.756,US,90,High Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
CTSH UW,COGNIZANT TECH-A,Information Technology,IT Services,32233.40261,99429445.9,0.0003,31267.40261,4.340000153,#N/A N/A,30.76919937,10.241,6.595,US,#N/A N/A,#N/A N/A,0,0,0,0,#N/A N/A,#N/A N/A,#N/A N/A
AMS SQ,AMADEUS IT GROUP,Consumer Discretionary,"Hotels, Restaurants & Leisure",32220.74732,99429445.9,0.0003,32335.53755,5.340000153,Y,45.45449829,1.831,4.166,ES,78,Moderate Risk,0,0,0,3.2,Y,Y,#N/A N/A
ASSAB SS,ASSA ABLOY AB-B,Industrials,Building Products,32213.8716,99429445.9,0.0003,408135.904,3.680000067,Y,40,67.562,18.451,SE,84,High Risk,0,0,0,1.69,Y,Y,#N/A N/A
DAL UN,DELTA AIR LI,Industrials,Passenger Airlines,32201.08292,99429445.9,0.0003,54044.08292,5.179999828,#N/A N/A,16.66670036,31513.438,672.133,US,84,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
BKR UW,BAKER HUGHES CO,Energy,Energy Equipment & Services,32185.4237,99429445.9,0.0003,35638.41368,5.150000095,Y,20,432.497,24.357,US,49,Low Risk,100,100,0,3.2,Y,Y,#N/A N/A
FICO UN,FAIR ISAAC CORP,Information Technology,Software,32162.27424,99429445.9,0.0003,34049.41024,1.970000029,N,33.33330154,19.593,22.793,US,69,Moderate Risk,0,0,0,#N/A Field Not Applicable,N,N,#N/A N/A
